
Lower is better - on [Feren OS](https://ferenos.weebly.com/) 2022.04
Linux-5.13.0-40-generic-x86_64-with-glibc2.29 on 2022-05-02:

|                        Language                        |                                          Version                                           | Adjusted time based on CPU usage (seconds) | Average time (seconds) | Average CPU usage[^1] (%) | Average memory usage[^1] (%) |
|--------------------------------------------------------|--------------------------------------------------------------------------------------------|--------------------------------------------|------------------------|---------------------------|------------------------------|
|         [custom c++](https://www.frisky.world)         |                                           (0,0)                                            |                   0.307                    |         0.304          |           8.414           |            2.666             |
|       [pypy](https://en.wikipedia.org/wiki/PyPy)       |                    Python 2.7.13 (7.3.1+dfsg-2, Apr 21 2020, 05:05:41)                     |                   1.428                    |         1.390          |           8.562           |            2.104             |
|      [c++](https://en.wikipedia.org/wiki/C%2B%2B)      |                         g++ (Ubuntu 9.4.0-1ubuntu1~20.04.1) 9.4.0                          |                   1.530                    |         1.504          |           8.477           |            2.105             |
|           [rust](https://www.rust-lang.org/)           |                            rustc 1.60.0 (7737e0b5c 2022-04-04)                             |                   1.676                    |         1.658          |           8.427           |            2.075             |
| [javascript](https://en.wikipedia.org/wiki/JavaScript) |                                          v10.19.0                                          |                   2.185                    |         1.914          |           9.509           |            2.116             |
| [c#](https://docs.microsoft.com/en-us/dotnet/csharp/)  |                                          6.0.202                                           |                   2.191                    |         2.138          |           8.541           |            2.176             |
|       [perl](https://en.wikipedia.org/wiki/Perl)       | This is perl 5, version 30, subversion 0 (v5.30.0) built for x86_64-linux-gnu-thread-multi |                   5.261                    |         5.209          |           8.417           |            2.236             |
|                 [go](https://go.dev/)                  |                              go version go1.18.1 linux/amd64                               |                   5.320                    |         3.557          |           12.465          |            2.215             |
|            [julia](https://julialang.org/)             |                                    julia version 1.4.1                                     |                   7.054                    |         6.914          |           8.501           |            2.408             |
