
Lower is better - on [Garuda Linux](https://garudalinux.org/) 
Linux-5.17.4-zen1-1-zen-x86_64-with-glibc2.35 on 2022-05-04:

|                        Language                        |                                        Version                                         | Adjusted time based on CPU usage (seconds) | Average time (seconds) | Average CPU usage[^1] (%) | Average memory usage[^1] (%) |
|--------------------------------------------------------|----------------------------------------------------------------------------------------|--------------------------------------------|------------------------|---------------------------|------------------------------|
|         custom c++         |                                         (0,0)                                          |                   0.300                    |         0.294          |           8.494           |            4.324             |
|       [pypy](https://en.wikipedia.org/wiki/PyPy)       |    Python 2.7.18 (Apr 02 2022, 14:58:34)     |                   1.422                    |         1.390          |           8.521           |            3.779             |
|           [rust](https://www.rust-lang.org/)           |                          rustc 1.60.0 (7737e0b5c 2022-04-04)                           |                   1.587                    |         1.555          |           8.507           |            3.684             |
|      [c++](https://en.wikipedia.org/wiki/C%2B%2B)      |                                    g++ (GCC) 11.2.0                                    |                   1.747                    |         1.697          |           8.578           |            3.753             |
| [javascript](https://en.wikipedia.org/wiki/JavaScript) |                                        v18.1.0                                         |                   2.558                    |         2.348          |           9.079           |            3.753             |
| [c#](https://docs.microsoft.com/en-us/dotnet/csharp/)  |                                        6.0.202                                         |                   2.559                    |         2.473          |           8.624           |            3.884             |
|                 [go](https://go.dev/)                  |                            go version go1.18.1 linux/amd64                             |                   5.563                    |         3.559          |           13.024          |            3.833             |
|       [perl](https://en.wikipedia.org/wiki/Perl)       | This is perl 5, version 34, subversion 1 (v5.34.1) built for x86_64-linux-thread-multi |                   5.725                    |         5.570          |           8.566           |            3.852             |
|            [julia](https://julialang.org/)             |                                  julia version 1.7.2                                   |                   8.393                    |         8.143          |           8.589           |            4.676             |
