
Lower is better - on [Ubuntu](https://en.wikipedia.org/wiki/Ubuntu) 22.04 LTS (Jammy Jellyfish)
Linux-5.15.0-27-generic-x86_64-with-glibc2.35 on 2022-05-02:

|                              Language                             |                                          Version                                           | Adjusted time based on CPU usage (seconds) | Average time (seconds) | Average CPU usage[^1] (%) | Average memory usage[^1] (%) |
|-------------------------------------------------------------------|--------------------------------------------------------------------------------------------|--------------------------------------------|------------------------|---------------------------|------------------------------|
|               custom c++              |                                           (0,0)                                            |                   0.309                    |         0.300          |           8.559           |            2.533             |
|             [pypy](https://en.wikipedia.org/wiki/PyPy)            |                    Python 2.7.18 (7.3.9+dfsg-1, Apr 01 2022, 21:40:34)                     |                   1.446                    |         1.418          |           8.499           |            1.980             |
|                 [rust](https://www.rust-lang.org/)                |                            rustc 1.60.0 (7737e0b5c 2022-04-04)                             |                   1.746                    |         1.733          |           8.397           |            1.957             |
|            [c++](https://en.wikipedia.org/wiki/C%2B%2B)           |                            g++ (Ubuntu 11.2.0-19ubuntu1) 11.2.0                            |                   1.748                    |         1.726          |           8.438           |            1.977             |
|       [javascript](https://en.wikipedia.org/wiki/JavaScript)      |                                          v12.22.9                                          |                   2.180                    |         1.978          |           9.187           |            2.086             |
|       [c#](https://docs.microsoft.com/en-us/dotnet/csharp/)       |                                          6.0.202                                           |                   2.524                    |         2.472          |           8.510           |            2.063             |
| [java](https://en.wikipedia.org/wiki/Java_(programming_language)) |                                  openjdk 18-ea 2022-03-22                                  |                   3.277                    |         1.228          |           22.244          |            4.670             |
|             [perl](https://en.wikipedia.org/wiki/Perl)            | This is perl 5, version 34, subversion 0 (v5.34.0) built for x86_64-linux-gnu-thread-multi |                   5.237                    |         5.222          |           8.358           |            2.095             |
|                       [go](https://go.dev/)                       |                              go version go1.18.1 linux/amd64                               |                   5.663                    |         3.718          |           12.692          |            2.053             |
